Descrição;Código;DÉBITO;CRÉDITO;INDIVIDUALIZAR
Ac. Trab. Med. H.E. maior que a carência;8501;DCSAL;SALPGR;NÃO
Ac.Trab.Med. DSR HE maior que a carência;8502;DCSAL;SALPGR;NÃO
Ac. Trab. Med. R.V. maior que a carência;8503;DCSAL;SALPGR;NÃO
Ac.Trab.Med. DSR RV maior que a carência;8504;DCSAL;SALPGR;NÃO
Ac. de Trab. Médias maior que a carência;8599;DCSAL;SALPGR;NÃO
Salário Situação Serviço Militar;8605;DCSAL;SALPGR;NÃO
Salário Situação Serviço Militar;8649;DCSAL;SALPGR;NÃO
Situação Serviço Militar Adicionais;8699;DCSAL;SALPGR;NÃO
Situação Serviço Militar Média H.E.;8701;DCSAL;SALPGR;NÃO
Situação Serviço Militar Média DSR H.E.;8702;DCSAL;SALPGR;NÃO
Situação Serviço Militar Média R.V.;8703;DCSAL;SALPGR;NÃO
Situação Serviço Militar Média DSR R.V.;8704;DCSAL;SALPGR;NÃO
Situação Serviço Militar Médias;8799;DCSAL;SALPGR;NÃO
Desconto Salário Situação;8801;SALPGR;DCSAL;NÃO
Aposent. Invalidez maior que a carência;8811;DCSAL;SALPGR;NÃO
Apos.Inval. RV maior que a carência;8821;DCSAL;SALPGR;NÃO
Apos.Inval. DSR RV maior que a carência;8822;DCSAL;SALPGR;NÃO
Apos.Inval. HE maior que a carência;8823;DCSAL;SALPGR;NÃO
Apos.Inval. DSR HE maior que a carência;8824;DCSAL;SALPGR;NÃO
Apos.Inval.maior que a carência Adiciona;8831;DCSAL;SALPGR;NÃO
Afastamento por Mandato Sindical;8851;DCSAL;SALPGR;NÃO
Mandato Sindical Horas Extras;8861;DCSAL;SALPGR;NÃO
Mandato Sindical DSR H.E.;8862;DCSAL;SALPGR;NÃO
Mandato Sindical R.V.;8863;DCSAL;SALPGR;NÃO
Mandato Sindical DSR R.V.;8864;DCSAL;SALPGR;NÃO
Mandato Sindical Adicional;8871;DCSAL;SALPGR;NÃO
Aux.Doe.Trab. maior que a carência;8905;DCSAL;SALPGR;NÃO
Aux.Doe.Trab. Adic. maior que a carência;8919;DCSAL;SALPGR;NÃO
Aux.Doe.Trab.Med.HE maior que a carência;8921;DCSAL;SALPGR;NÃO
Doe.Trab.Med.DSR HE maior que a carência;8922;DCSAL;SALPGR;NÃO
Aux.Doe.Trab.Med.RV maior que a carência;8923;DCSAL;SALPGR;NÃO
Doe.Trab.Med.DSR RV maior que a carência;8924;DCSAL;SALPGR;NÃO
Aux.Doe.Trab.Med. maior que a carência;8929;DCSAL;SALPGR;NÃO
Salário Situação;8955;DCSAL;SALPGR;NÃO
Situação Adicionais;8969;DCSAL;SALPGR;NÃO
Situação Média H.E.;8971;DCSAL;SALPGR;NÃO
Situação Médias DSR H.E.;8972;DCSAL;SALPGR;NÃO
Situação Média R.V.;8973;DCSAL;SALPGR;NÃO
Situação Médias DSR R.V.;8974;DCSAL;SALPGR;NÃO
Situação Médias;8979;DCSAL;SALPGR;NÃO
Arredondamento Desconto Adiantamento;9013;SALPGR;DCSAL;NÃO
Arredondamento Desconto Férias;9023;SALPGR;DCSAL;NÃO
Arredondamento Provento 13°;9032;DCSAL;SALPGR;NÃO
Arredondamento Desconto 13°;9033;SALPGR;DCSAL;NÃO
Estouro Provento;9051;DCSAL;SALPGR;NÃO
Estouro Desconto;9052;SALPGR;DCSAL;NÃO
I.N.S.S.;9101;SALPGR;INSSPGR;NÃO
I.N.S.S. 13° Salário;9104;SALPGR;INSSPGR;NÃO
Contribuição SEST/SENAT;9401;SALPGR;INSSPGR;NÃO
Salário Família;9501;INSSPGR;SALPGR;NÃO
Salário Família Férias;9502;INSSPGR;SALPGR;NÃO
Salário Família Situação;9503;INSSPGR;SALPGR;NÃO
Pagamento - Verba 171 Mensalidade sindical;30171;CSPGR;CX;NÃO
Pagamento - Verba 172 Contribuição sindical;30172;CSPGR;CX;NÃO
Pagamento - Verba 173 Contribuição confederativa;30173;CSPGR;CX;NÃO
Pagamento - Verba 174 Taxa assistencial;30174;CSPGR;CX;NÃO
Pagamento - Verba 175 Reversão salarial;30175;CSPGR;CX;NÃO
I.R. 13° Salário;9154;SALPGR;IRFPFPGR;NÃO
Provisão - Contribuinte individual prolaborista;10013;SALPGR;INSSPGR;NÃO
Provisão - Contribuinte individual autônomo;10014;SALPGR;INSSPGR;NÃO
Provisão - PLR Prolaboristas;10041;PLRPGR;IRRFPLR;NÃO
Provisão - IR PLR autônomo;10042;PLRPGR;IRRFPLR;NÃO
Provisão - Arredodamento folha funcionários;10043;ADDSAL;SALPGR;NÃO
Provisão - Arredondamento folha prolaboristas;10044;ADDSAL;SALPGR;NÃO
Provisão - Arredondamento folha autônomos;10045;ADDSAL;SALPGR;NÃO
Provisão - Arredodamento folha funcionários desconto;10046;SALPGR;ADDSAL;NÃO
Provisão - Arredondamento folha prolaboristas desconto;10047;SALPGR;ADDSAL;NÃO
Provisão - Arredondamento folha autônomos desconto;10048;SALPGR;ADDSAL;NÃO
Provisão - Aluguel locatário;10050;DCALUG;ALUPGR;NÃO
Provisão - IR Aluguel;10051;DCALUG;IRALUGUEL;NÃO
Provisão - DARF PBM;10060;DARFPBM;IRPBM;NÃO
Provisão - compensação PBM;10061;INSSPGR;DCINSS;NÃO
Provisão - compensação MEI;10062;INSSPGR;DCINSS;NÃO
Pagamento - NF cooperativa;20035;INSSPGR;CX;NÃO
Pagamento - Líquido PLR prolaboristas;20040;PLRPGR;CX;SIM
Pagamento - Líquido PLR autônomos;20041;PLRPGR;CX;SIM
Pagamento - Aluguel locatário;20050;ALUPGR;CX;NÃO
Pagamento - IR aluguel;20051;IRALUGUEL;CX;NÃO
Pagamento - Multa aluguel;20052;MULTAS;CX;NÃO
Pagamento - Juros PIS;20055;JUROS;CX;NÃO
Pagamento - Juros IR;20056;JUROS;CX;NÃO
Pagamento - Líquido transferências;20058;SALPGR;CX;SIM
Pagamento - Líquido adiantamento prolaboristas;20059;ADDPGR;CX;SIM
Pagamento - DARF PBM;20060;IRPBM;CX;NÃO
Pagamento - Multas PBM;20061;MULTAS;CX;NÃO
Pagamento - Juros PBM;20062;JUROS;CX;NÃO
Horas normais (Contrato intermitente);8;DCSAL;SALPGR;NÃO
Honorários não residentes com INSS;31;DCAUT;RENDPGR;NÃO
Honorários não residentes sem INSS;32;DCAUT;RENDPGR;NÃO
Pró-labore diretor não empregado c/ FGTS;36;DCPROLAB;SALPGR;NÃO
Salário Habitação;55;DCSAL;SALPGR;NÃO
Salário Utilidade;56;DCSAL;SALPGR;NÃO
Salário Habitação;57;SALPGR;DCSAL;NÃO
Aluguel;58;SALPGR;DCSAL;NÃO
Gratificações;61;DCSAL;SALPGR;NÃO
Prêmio;66;DCSAL;SALPGR;NÃO
Assiduidade;71;DCSAL;SALPGR;NÃO
Quebra de Caixa;76;DCSAL;SALPGR;NÃO
Abono;81;DCSAL;SALPGR;NÃO
Pontos;86;DCSAL;SALPGR;NÃO
Salário Quinzenal;121;DCSAL;SALPGR;NÃO
Pró-Labore Quinzenal proprietário/sócio;122;DCSAL;SALPGR;NÃO
Salário Quinzenal Autônomo;123;DCSAL;SALPGR;NÃO
Adicional Noturno Horas;440;DCSAL;SALPGR;NÃO
Despesas Médicas Titular;522;SALPGR;SAUDEPGR;NÃO
Despesas Médicas Dependente;523;SALPGR;SAUDEPGR;NÃO
Coparticipação Titular;524;SALPGR;SAUDEPGR;NÃO
Coparticipação Dependente;525;SALPGR;SAUDEPGR;NÃO
Empréstimo consignado - Parcelamento;531;SALPGR;CONSIGPGR;NÃO
D.S.R. Horista Especial;546;DCSAL;SALPGR;NÃO
D.S.R. Salário Quinzenal;547;DCSAL;SALPGR;NÃO
Licença Remunerada Estagiário;656;DCSAL;SALPGR;NÃO
Complemento 13º Folha Normal;951;13SALPGR;SALPGR;NÃO
Adiantamento de 13º nas férias;2701;13SALPGR;ADDFERIS;NÃO
Complemen. Recesso remunerado estágio;3006;DCFERIAS;FERIASPGR;NÃO
Férias 1/12 Intermitente;3872;PROVFER;SALPGR;NÃO
1/3 Férias Contrato intermitente;3892;PROVFER;SALPGR;NÃO
Desconto Adto. 13° trans;4301;13SALPGR;ADD13SAL;NÃO
Ad.13º Sit.Acid. Trab. Prêmios Gratific.;4465;DC13.SAL;13SALPGR;NÃO
Ad. 13º Sit.Matern.Empresa Média DSR HE;4466;INSSRECUP;13SALPGR;NÃO
Ad. 13º Sit.Matern.Empresa Média DSR RV;4467;INSSRECUP;13SALPGR;NÃO
AD.13º Comp.Sit.Maternidade Emp. DSR HE;4468;INSSRECUP;13SALPGR;NÃO
AD.13º Comp.Sit.Maternidade Emp. DSR RV;4469;INSSRECUP;13SALPGR;NÃO
Ad. 13º Sit. Auxílio Doença Média HE;4472;DC13.SAL;13SALPGR;NÃO
Ad. 13º Sit. Auxílio Doença Média RV;4473;DC13.SAL;13SALPGR;NÃO
Ad. 13º Sit. Aux. Doença Prêmios Gratif.;4475;DC13.SAL;13SALPGR;NÃO
Ad. 13º Sit. Ac. Trabalho Média DSR HE;4476;DC13.SAL;13SALPGR;NÃO
Ad. 13º Sit. Ac. Trabalho Média DSR RV;4477;DC13.SAL;13SALPGR;NÃO
Ad. 13º Sit. Auxílio Doença Méd. DSR HE;4478;DC13.SAL;13SALPGR;NÃO
Ad. 13º Sit. Auxílio Doença Méd. DSR RV;4479;DC13.SAL;13SALPGR;NÃO
Ad.13º Doe.Relac. Trabalho Prêmios Grat.;4485;DC13.SAL;13SALPGR;NÃO
Ad. 13º Doença Rel. Trabalho Méd. DSR HE;4486;DC13.SAL;13SALPGR;NÃO
Ad. 13º Doença Rel. Trabalho Méd. DSR RV;4487;DC13.SAL;13SALPGR;NÃO
Ad. 13º Sit. Serviço Militar Média HE;4492;DC13.SAL;13SALPGR;NÃO
Ad. 13º Sit. Serviço Militar Média RV;4493;DC13.SAL;13SALPGR;NÃO
Ad.13ºSit. Serviço Militar Prêmios Grat.;4495;DC13.SAL;13SALPGR;NÃO
Ad. 13º Sit. Serviço Militar Méd. DSR HE;4496;DC13.SAL;13SALPGR;NÃO
Ad. 13º Sit. Serviço Militar Méd. DSR RV;4497;DC13.SAL;13SALPGR;NÃO
Pensão Adiantamento 13º;4801;13SALPGR;PENSAOPGR;NÃO
13° Salário Prêmios e Gratificações;5006;PROVDEC;13SALPGR;NÃO
13º Salário 1/12 Contrato Intermintente;5007;PROVDEC;13SALPGR;NÃO
Desconto 13º salário transferência;5301;13SALPGR;PROVDEC;NÃO
13º Sit. Acid. Trabalho Prêmios Gratif.;5465;DC13.SAL;13SALPGR;NÃO
13º Situação Mat. Emp. Média DSR HE;5466;INSSPGR;13SALPGR;NÃO
13º Situação Mat. Emp. Média DSR RV;5467;INSSPGR;13SALPGR;NÃO
13º Comp. Sit. Maternidade Emp. DSR HE;5468;INSSPGR;13SALPGR;NÃO
13º Comp. Sit. Maternidade Emp. DSR RV;5469;INSSPGR;13SALPGR;NÃO
13º Situação Auxílio Doença Média HE;5472;DC13.SAL;13SALPGR;NÃO
13º Situação Auxílio Doença Média RV;5473;DC13.SAL;13SALPGR;NÃO
13º Situação Aux. Doença Prêmios Gratif.;5475;DC13.SAL;13SALPGR;NÃO
13º Sit. Ac. Trabalho Média DSR HE;5476;DC13.SAL;13SALPGR;NÃO
13º Sit. Ac. Trabalho Média DSR RV;5477;DC13.SAL;13SALPGR;NÃO
13º Situação Auxílio Doença Méd. DSR HE;5478;DC13.SAL;13SALPGR;NÃO
13º Situação Auxílio Doença Méd. DSR RV;5479;DC13.SAL;13SALPGR;NÃO
13º Doença Relac. Trab. Prêmios Gratif.;5485;DC13.SAL;13SALPGR;NÃO
13º Doença Rel. Trabalho Méd. DSR HE;5486;DC13.SAL;13SALPGR;NÃO
13º Doença Rel. Trabalho Méd. DSR RV;5487;DC13.SAL;13SALPGR;NÃO
13º Situação Serviço Militar Média HE;5492;DC13.SAL;13SALPGR;NÃO
13º Situação Serviço Militar Média RV;5493;DC13.SAL;13SALPGR;NÃO
13º Situação Serv. Militar Prêmios Grat.;5495;DC13.SAL;13SALPGR;NÃO
13º Situação Serviço Militar Méd. DSR HE;5496;DC13.SAL;13SALPGR;NÃO
13º Situação Serviço Militar Méd. DSR RV;5497;DC13.SAL;13SALPGR;NÃO
Complemento 13° Prêmios e Gratificações;5506;PROVDEC;13SALPGR;NÃO
Compl.13º Sit. Mat. Empr. Prêmios Grat.;5855;INSSPGR;13SALPGR;NÃO
Compl. 13º Sit.Mat.Empresa Média DSR HE;5856;INSSPGR;13SALPGR;NÃO
Compl. 13º Sit.Mat.Empresa Média DSR RV;5857;INSSPGR;13SALPGR;NÃO
Compl.13º Sit.Acid. Trab. Prêmios Grat.;5865;PROVDEC;13SALPGR;NÃO
Compl. 13º Ac. de Trabalho Média DSR HE;5866;DC13.SAL;13SALPGR;NÃO
Compl. 13º Ac. de Trabalho Média DSR RV;5867;DC13.SAL;13SALPGR;NÃO
Compl. 13º Auxílio Doença Média HE;5872;PROVDEC;13SALPGR;NÃO
Compl. 13º Auxílio Doença Média RV;5873;PROVDEC;13SALPGR;NÃO
Compl. 13º Aux. Doença Prêmios Gratif.;5875;PROVDEC;13SALPGR;NÃO
Compl. 13º Auxílio Doença Média DSR HE;5876;PROVDEC;13SALPGR;NÃO
Compl. 13º Auxílio Doença Média DSR RV;5877;PROVDEC;13SALPGR;NÃO
Compl. 13º Doença Rel. Trabalho Méd. HE;5882;PROVDEC;13SALPGR;NÃO
Compl. 13º Doença Rel. Trabalho Méd. RV;5883;PROVDEC;13SALPGR;NÃO
Compl.13ºDoença Rel. Trab. Prêmios Grat.;5885;PROVDEC;13SALPGR;NÃO
Compl. 13º Doença Rel. Trab. Méd. DSR HE;5886;PROVDEC;13SALPGR;NÃO
Compl. 13º Doença Rel. Trab. Méd. DSR RV;5887;PROVDEC;13SALPGR;NÃO
Compl. 13º Serviço Militar Méd. HE;5892;PROVDEC;13SALPGR;NÃO
Compl. 13º Serviço Militar Méd. RV;5893;PROVDEC;13SALPGR;NÃO
Compl.13º Serviço Militar Prêmios Grat.;5895;PROVDEC;13SALPGR;NÃO
Compl. 13º Serviço Militar Méd. DSR HE;5896;PROVDEC;13SALPGR;NÃO
Compl. 13º Serviço Militar Méd. DSR RV;5897;PROVDEC;13SALPGR;NÃO
Saldo Sal.Rescisão Prêmios e Gratific.;6007;DCSAL;SALPGR;NÃO
Multa rescisória artigo 477;6035;DCSAL;SALPGR;NÃO
Rescisão Aviso Prévio Descontado Proporc;6052;SALPGR;DCSAL;NÃO
Aviso Prévio Indenizado Proporcional;6077;DCSAL;SALPGR;NÃO
Rescisão Av.Prév.Indenizado Prêmios Gra.;6078;DCSAL;SALPGR;NÃO
Rescisão Férias Proporc. Prêmios Gratif.;6106;PROVFER;SALPGR;NÃO
Rescisão Férias Ind. Prêmios Grat.;6206;DCFERIAS;SALPGR;NÃO
Rescisão Férias Vencidas Prêmios Gratif.;6406;PROVFER;SALPGR;NÃO
Rescisão Férias em Dobro Prêmios e Grat.;6606;PROVFER;SALPGR;NÃO
Rescisão 13º Salário Prêmios e Gratific.;7006;PROVDEC;SALPGR;NÃO
Rescisão 13º Sal. 1/12 Ind. Prêmios Gra.;7206;DC13.SAL;SALPGR;NÃO
13ºSit.Rescisão Matern. Empr. Prêmios G.;7452;PROVDEC;SALPGR;NÃO
13º rescisão complemento sit. mat. emp.;7456;PROVDEC;SALPGR;NÃO
13º rescisao complemento sit.mat.emp. HE;7457;PROVDEC;SALPGR;NÃO
13º rescisao complemento sit.mat.emp. RV;7458;PROVDEC;SALPGR;NÃO
13º rescisao comp. sit.mat.emp. adic;7459;PROVDEC;SALPGR;NÃO
13º Sit. Rescisão Mat. Emp. Méd. DSR HE;7466;PROVDEC;SALPGR;NÃO
13º Sit. Rescisão Mat. Emp. Méd. DSR RV;7467;PROVDEC;SALPGR;NÃO
13º rescisão compl. sit.mat.emp. DSR HE;7476;PROVDEC;SALPGR;NÃO
13º rescisão compl. sit.mat.emp. DSR RV;7477;PROVDEC;SALPGR;NÃO
13º Sit. Rescisão  Acidente de Trabalho;7481;PROVDEC;SALPGR;NÃO
13ºSit. Rescisão Ac. Trabalho Prêmios G.;7482;PROVDEC;SALPGR;NÃO
13º Sit. Rescisão Acid.de Trabalho HE;7483;PROVDEC;SALPGR;NÃO
13º Sit. Rescisão Acid.de Trabalho RV;7484;PROVDEC;SALPGR;NÃO
13º Sit. Resc. Acid.de Trabalho DSR HE;7486;PROVDEC;SALPGR;NÃO
13º Sit. Resc. Acid.de Trabalho DSR RV;7487;PROVDEC;SALPGR;NÃO
13º Sit. Rescisão Desconto Ac. Trabalho;7491;SALPGR;PROVDEC;NÃO
Rescisão Desconto 13° Maternidade;7651;SALPGR;INSSPGR;NÃO
Situação maternidade prêmios e gratif.;8015;DCSAL;SALPGR;NÃO
Situação Maternidade Emp. Prêmios Grat.;8016;DCSAL;SALPGR;NÃO
Situação Maternidade Empresa Quinzenal;8047;DCSAL;SALPGR;NÃO
Situação Maternidade Empresa Semanal;8048;DCSAL;SALPGR;NÃO
Salário Maternidade Pro;8132;DCSAL;SALPGR;NÃO
Aux.Doe. maior que a carência Quinzenal;8247;DCSAL;SALPGR;NÃO
Aux.Doe. maior que a carência Semanal;8248;DCSAL;SALPGR;NÃO
Aux.Doe. menor que a carência Prêm.Grat.;8352;DCSAL;SALPGR;NÃO
Aux. Doença menor que a carência Quinzen;8358;DCSAL;SALPGR;NÃO
Aux. Doença menor que a carência Semanal;8359;DCSAL;SALPGR;NÃO
Ac.Trab. maior que a carência Prêm.Grat.;8406;DCSAL;SALPGR;NÃO
Ac.Trab. maior que a carência Quinzenal;8447;DCSAL;SALPGR;NÃO
Ac.Trab. maior que a carência Semanal;8448;DCSAL;SALPGR;NÃO
Sal. Sit. Serviço Militar Prêmios Grat.;8606;DCSAL;SALPGR;NÃO
Salário Situação Serv. Militar Quinzenal;8647;DCSAL;SALPGR;NÃO
Salário Situação Serv. Militar Semanal;8648;DCSAL;SALPGR;NÃO
Apos.Inv.maior que a carência Prêm.Grat.;8812;DCSAL;SALPGR;NÃO
Apos.Inv. maior que a carência Quinzenal;8818;DCSAL;SALPGR;NÃO
Apos.Inv. maior que a carência Semanal;8819;DCSAL;SALPGR;NÃO
Afast. Mandado Sindical Prêmios Gratif.;8852;DCSAL;SALPGR;NÃO
Afast. por Mandato Sindical Quinzenal;8858;DCSAL;SALPGR;NÃO
Afast. por Mandato Sindical Semanal;8859;DCSAL;SALPGR;NÃO
Atestado acid. trabalho com incidência;8891;DCSAL;SALPGR;NÃO
Ac.Trab. menor que a carência Prêm.Grat.;8892;DCSAL;SALPGR;NÃO
Aux.Doe.Tra.maior que a carência Prê.Gra;8906;DCSAL;SALPGR;NÃO
Sal.Situação Doença Rel. Trab. Quinzenal;8908;DCSAL;SALPGR;NÃO
Doe.Rel.Trab.Seman. maior que a carência;8909;DCSAL;SALPGR;NÃO
Atestado acid. trabalho Adic. com ind.;8931;DCSAL;SALPGR;NÃO
Ac. Trab. Med. H.E. menor que a carência;8941;DCSAL;SALPGR;NÃO
Ac.Trab.Med. DSR HE menor que a carência;8942;DCSAL;SALPGR;NÃO
Ac. Trab. Med. R.V. menor que a carência;8943;DCSAL;SALPGR;NÃO
Ac.Trab.Med. DSR RV menor que a carência;8944;DCSAL;SALPGR;NÃO
Aci. Trab. Medias menor que a carência;8949;DCSAL;SALPGR;NÃO
Salário Situação Prêmios e Gratificações;8956;DCSAL;SALPGR;NÃO
Salário Situação Quinzenal;8958;DCSAL;SALPGR;NÃO
Salário Situação Semanal;8959;DCSAL;SALPGR;NÃO
Arredondamento Provento 13º transf;9042;DCSAL;SALPGR;NÃO
Arredondamento Desconto 13º transf;9043;SALPGR;DCSAL;NÃO
I.S.S.;9135;SALPGR;ISSPGR;NÃO
1/3 Férias (Covid-19);3896;DCFERIAS;FERIASPGR;NÃO
1/3 Abono Pecuniário (Covid-19);3897;DCFERIAS;FERIASPGR;NÃO
1/3 Férias Dobro (Covid-19);3898;DCFERIAS;FERIASPGR;NÃO
1/3 Abono Pecuniário Dobro (Covid-19);3899;DCFERIAS;FERIASPGR;NÃO
Horas noturnas (Contrato intermitente);9;DCSAL;SALPGR;NÃO
Ajuda compensatória mensal obrigatória;356;DCSAL;SALPGR;NÃO
Ajuda compensatória espontânea (%);357;DCSAL;SALPGR;NÃO
Ajuda compensatória espontânea ($);358;DCSAL;SALPGR;NÃO
Férias 1/12 Verde Amarelo;3873;DCFERIAS;FERIASPGR;NÃO
1/3 Férias Verde Amarelo;3893;DCFERIAS;FERIASPGR;NÃO
Desconto de férias antecipadas;3901;SALPGR;DCSAL;NÃO
Adiantamento 13° Salário;4005;ADD13SAL;13SALPGR;NÃO
Adiantamento 13º Salário Prêmios Gratif.;4006;ADD13SAL;13SALPGR;NÃO
Adto. 13º Contribuinte;4030;ADD13SAL;13SALPGR;NÃO
Adto. 13°;4099;ADD13SAL;13SALPGR;NÃO
Adto. 13° Adic. Insalubridade;4101;ADD13SAL;13SALPGR;NÃO
Adto. 13° Adic. Periculosidade;4111;ADD13SAL;13SALPGR;NÃO
Adto. 13° Adic. Noturno;4121;ADD13SAL;13SALPGR;NÃO
Adto. 13° Anuênio;4131;ADD13SAL;13SALPGR;NÃO
Adto. 13° Biênio;4132;ADD13SAL;13SALPGR;NÃO
Adto. 13° Triênio;4133;ADD13SAL;13SALPGR;NÃO
Adto. 13° Quinquênio;4134;ADD13SAL;13SALPGR;NÃO
Adto. 13° Decênio;4135;ADD13SAL;13SALPGR;NÃO
Adto. 13° Adicionais;4199;ADD13SAL;13SALPGR;NÃO
Adto. 13° Média H.E.;4201;ADD13SAL;13SALPGR;NÃO
Adto. 13° Média D.S.R. H.E.;4202;ADD13SAL;13SALPGR;NÃO
Adto. 13° Média R.V.;4203;ADD13SAL;13SALPGR;NÃO
Adto. 13° Média D.S.R. R.V.;4204;ADD13SAL;13SALPGR;NÃO
Adto. 13° Médias;4299;ADD13SAL;13SALPGR;NÃO
13º Salário 1/12 Verde Amarelo;5008;DC13.SAL;13SALPGR;NÃO
Indenização rescisória 50% ? BEm;6037;DCAVISO;SALPGR;NÃO
Dedução Covid-19 - 02/04/2020;9601;INSSPGR;DCSAL;NÃO
Férias Folha;3105;PROVFER;SALPGR;NÃO
Recesso remunerado Folha - Estágio;3106;PROVFER;SALPGR;NÃO
Férias Folha;3125;PROVFER;SALPGR;NÃO
Demonstrativo Férias Folha Pensão;3130;SALPGR;PENSAOPGR;NÃO
Férias Folha;3149;PROVFER;SALPGR;NÃO
1/3 Férias Folha;3151;PROVFER;SALPGR;NÃO
Férias Adicionais Folha;3248;PROVFER;SALPGR;NÃO
Férias Adicionais Folha;3249;PROVFER;SALPGR;NÃO
Férias Média H.E. Folha;3251;PROVFER;SALPGR;NÃO
Férias Média D.S.R. H.E. Folha;3252;PROVFER;SALPGR;NÃO
Férias Média R.V. Folha;3253;PROVFER;SALPGR;NÃO
Férias Média D.S.R. R.V. Folha;3254;PROVFER;SALPGR;NÃO
Férias Médias Folha;3299;PROVFER;SALPGR;NÃO
FÉRIAS FOLHA MÉDIAS RV;3301;PROVFER;SALPGR;NÃO
Abono Pecuniário Folha;3355;PROVFER;SALPGR;NÃO
Abono Pecuniário Folha;3399;PROVFER;SALPGR;NÃO
1/3 Abono Pecuniário Folha;3401;PROVFER;SALPGR;NÃO
Abono Pec. Férias Adicionais Folha;3499;PROVFER;SALPGR;NÃO
Abono Férias Média H.E. Folha;3501;PROVFER;SALPGR;NÃO
Abono Férias Média D.S.R. H.E. Folha;3502;PROVFER;SALPGR;NÃO
Abono Férias Média R.V. Folha;3503;PROVFER;SALPGR;NÃO
Abono Férias Média D.S.R. R.V. Folha;3504;PROVFER;SALPGR;NÃO
Abono Férias Médias;3599;PROVFER;SALPGR;NÃO
Férias Dobro Folha;3605;PROVFER;SALPGR;NÃO
Férias Dobro Folha;3649;PROVFER;SALPGR;NÃO
1/3 Férias Dobro Folha;3651;PROVFER;SALPGR;NÃO
Férias Dobro Adicionais Folha;3749;PROVFER;SALPGR;NÃO
Férias Dobro Média H.E. Folha;3751;PROVFER;SALPGR;NÃO
Férias Dobro Média D.S.R. H.E. Folha;3752;PROVFER;SALPGR;NÃO
Férias Dobro Média R.V. Folha;3753;PROVFER;SALPGR;NÃO
Férias Dobro Média D.S.R. R.V. Folha;3754;PROVFER;SALPGR;NÃO
Férias Dobro Médias Folha;3799;PROVFER;SALPGR;NÃO
Dem. Abono Pecuniário em Dobro Folha;3831;PROVFER;SALPGR;NÃO
1/3 Abono Pecuniário em Dobro Folha;3841;PROVFER;SALPGR;NÃO
Dem. Abono Pecuniário Dobro Folha Adic.;3851;PROVFER;SALPGR;NÃO
Dem.Abono Pecuniário Dobro Fol. Médias;3861;PROVFER;SALPGR;NÃO
Desconto férias;3949;SALPGR;ADDFERIS;NÃO
Desconto Abono Pecuniário;3999;SALPGR;ADDFERIS;NÃO
Indenização rescisória 75% ? BEm;6038;DCAVISO;SALPGR;NÃO
Indenização rescisória 100% ? BEm;6039;DCAVISO;SALPGR;NÃO
Ind.rescisória 100% BEm Suspensão;6040;DCAVISO;SALPGR;NÃO
I.N.S.S. Férias Folha;9103;SALPGR;INSSPGR;NÃO
I.R. Férias Recolhido;9153;SALPGR;IRFPFPGR;NÃO
Pagamento - Verba 9153 IR férias recolhido;39153;IRFPFPGR;CX;NÃO
Pagamento - Verba 9154 IR 13º salário;39154;IRFPFPGR;CX;NÃO
Pagamento - Verba 9171 IR PLR;39171;IRRFPLR;CX;NÃO
Provisão - 13º salário;11000;DC13.SAL;PROVDEC;NÃO
Provisão - FGTS 13º;11001;DCFGTS;PROVFGTS13;NÃO
Provisão - INSS 13º;11002;DCINSS;PROVINSS13;NÃO
Provisão - FPAS 13º;11003;DCINSS;PROVINSS13;NÃO
Provisão - RAT 13º;11004;DCINSS;PROVINSS13;NÃO
Provisão - RAT aposentadoria 13º;11005;DCINSS;PROVINSS13;NÃO
Provisão - PIS 13º;11006;PIS;PROVPIS13;NÃO
Provisão - Férias;11100;DCFERIAS;PROVFER;NÃO
Provisão - 1/3 Férias;11101;DCFERIAS;PROVFER;NÃO
Provisão - FGTS Férias;11102;DCFGTS;PROVFGTSFER;NÃO
Provisão - INSS Férias;11103;DCINSS;PROVINSSFER;NÃO
Provisão - FPAS Férias;11104;DCINSS;PROVINSSFER;NÃO
Provisão - RAT Férias;11105;DCINSS;PROVINSSFER;NÃO
Provisão - RAT Aposentadoria PIS férias;11106;DCINSS;PROVINSSFER;NÃO
Provisão - PIS Férias;11107;PIS;PROVPISFER;NÃO
Pagamento - FGTS 13º;12001;PROVFGTS13;FGTSPGR;NÃO
Pagamento - INSS 13º;12002;PROVINSS13;INSSPGR;NÃO
Pagamento - FPAS 13º;12003;PROVINSS13;INSSPGR;NÃO
Pagamento - RAT 13º;12004;PROVINSS13;INSSPGR;NÃO
Pagamento - RAT Aposentadoria 13º;12005;PROVINSS13;INSSPGR;NÃO
Pagamento - PIS 13º;12006;PROVPIS13;PISPGR;NÃO
Pagamento - FGTS GRRF 13º;12007;PROVFGTS13;FGTSPGR;NÃO
Pagamento - FGTS Férias;12102;PROVFGTSFER;FGTSPGR;NÃO
Pagamento - INSS Férias;12103;PROVINSSFER;INSSPGR;NÃO
Pagamento - FPAS Férias;12104;PROVINSSFER;INSSPGR;NÃO
Pagamento - RAT Férias;12105;PROVINSSFER;INSSPGR;NÃO
Pagamento - RAT Aposentadoria Férias;12106;PROVINSSFER;INSSPGR;NÃO
Pagamento - RAT PIS;12107;PROVPISFER;PISPGR;NÃO
Pagamento - FGTS GRRF Férias;12109;PROVFGTSFER;FGTSPGR;NÃO
